"","state","county","Biden","Trump","cases","cases_avg","cases_avg_per_100k","deaths","deaths_avg","deaths_avg_per_100k","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","retail_recreation","grocery_pharmacy","parks","transit","workplace","residential"
"118","Georgia","columbia",29236,50013,7,32.29,20.6,0,0.29,0.18,2,1,2,3,0,2,0,0,-4.51612903225806,-2.19354838709677,40.8064516129032,-0.806451612903226,-21.7096774193548,5.7741935483871
"119","Georgia","cook",2059,4900,7,6.86,39.71,0,0,0,2,1,2,3,0,2,0,0,-2.875,NA,NA,12.2272727272727,-12.7333333333333,NA
"120","Georgia","coweta",24210,51501,8,23.29,15.68,0,0,0,2,1,2,3,0,2,0,0,-5.45161290322581,-1.74193548387097,NA,18.6451612903226,-16.7741935483871,5.2258064516129
"121","Georgia","crawford",1615,4428,0,0.14,1.15,0,0,0,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"122","Georgia","crisp",2986,4987,4,5.14,22.99,0,0.14,0.64,2,1,2,3,0,2,0,0,-1.64516129032258,7.46153846153846,NA,5.51851851851852,-17.4516129032258,2.8
"123","Georgia","dade",1261,6066,5,3.86,23.93,0,0,0,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"124","Georgia","dawson",2486,13398,4,3,11.49,0,0,0,2,1,2,3,0,2,0,0,9,3.61290322580645,-14,NA,-15.4516129032258,2.95454545454545
"125","Georgia","decatur",4780,6758,0,4,15.15,0,0.14,0.54,2,1,2,3,0,2,0,0,-3.06451612903226,-8.81818181818182,NA,NA,-15.0322580645161,2.81818181818182
"126","Georgia","dekalb",308227,58373,138,121.43,15.99,0,0.86,0.11,2,1,2,3,0,2,0,0,-19.2258064516129,-9.45161290322581,22.8387096774194,-40.5161290322581,-34.741935483871,9.7741935483871
"127","Georgia","dodge",2171,5843,10,10.71,52,0,0.29,1.39,2,1,2,3,0,2,0,0,-11.25,NA,NA,NA,-13.8064516129032,NA
"128","Georgia","dooly",1911,2159,0,1.29,9.6,1,0.14,1.07,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"129","Georgia","dougherty",24577,10454,1,5.86,6.66,0,0,0,2,1,2,3,0,2,0,0,-8.83870967741935,-8.80645161290323,NA,-15.2903225806452,-20.2258064516129,4.41935483870968
"130","Georgia","douglas",42809,25451,22,29.71,20.3,0,0.14,0.1,2,1,2,3,0,2,0,0,-13.5161290322581,-5.38709677419355,47.96,-53.8387096774194,-26.6774193548387,6.83870967741935
"131","Georgia","early",2437,2722,1,1.57,15.42,0,0,0,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"132","Georgia","echols",167,1256,0,0.14,3.57,0,0,0,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"133","Georgia","effingham",7720,23358,3,9.14,14.22,0,0.14,0.22,2,1,2,3,0,2,0,0,-7.25806451612903,-7.87096774193548,NA,NA,-18.1612903225806,3.16129032258065
"134","Georgia","elbert",2879,6226,7,8,41.68,0,0.43,2.23,2,1,2,3,0,2,0,0,-3,7.89285714285714,NA,NA,-13.4516129032258,NA
"135","Georgia","emanuel",2884,6551,5,6.29,27.76,0,0.29,1.26,2,1,2,3,0,2,0,0,3.53846153846154,NA,NA,NA,-11.6129032258065,3.77272727272727
"136","Georgia","evans",1324,2888,1,1.67,15.64,0,0,0,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"137","Georgia","fannin",2571,12169,2,3.4,12.98,0,0.17,0.64,2,1,2,3,0,2,0,0,18.6129032258065,21.7058823529412,NA,NA,-15.4838709677419,1.09090909090909
"138","Georgia","fayette",33065,37952,14,18.14,15.86,0,0,0,2,1,2,3,0,2,0,0,-9,-5.38709677419355,34.5,NA,-25.5806451612903,8.12903225806452
"139","Georgia","floyd",12008,29123,39,40.86,41.48,0,0.29,0.29,2,1,2,3,0,2,0,0,-9.80645161290323,-2.80645161290323,42,NA,-25.6129032258065,2.35483870967742
"140","Georgia","forsyth",42203,85122,18,34.14,13.98,0,0.14,0.06,2,1,2,3,0,2,0,0,-7.70967741935484,-4.16129032258065,88.375,NA,-30.9677419354839,9.90322580645161
